id;availableForScheduling;category;delivery_fee;delivery_time;distance;minimumOrderValue;price_range;rating
34;False;Carnes;8.99;55;4.58;20.0;MODERATE;0.0
35;False;Brasileira;5.99;28;2.12;20.0;MODERATE;0.0
37;False;Lanches;13.49;61;5.7;20.0;CHEAPEST;0.0
38;False;Lanches;13.49;66;5.7;20.0;CHEAPEST;0.0
39;False;Doces & Bolos;10.49;56;4.67;10.0;CHEAPEST;0.0
40;False;Lanches;14.49;64;5.58;20.0;CHEAPEST;0.0
41;False;Lanches;15.0;50;6.04;15.0;MODERATE;0.0
42;False;Bebidas;7.99;40;2.46;30.0;CHEAPEST;0.0
43;False;Brasileira;10.49;56;4.47;20.0;CHEAPEST;0.0
44;False;Lanches;7.99;44;2.54;20.0;MODERATE;0.0
45;False;Brasileira;6.99;34;2.12;20.0;CHEAPEST;0.0
46;False;Bebidas;9.0;45;4.46;0.0;CHEAPEST;0.0
47;False;Lanches;13.49;60;5.7;20.0;CHEAPEST;0.0
48;False;Italiana;15.99;35;5.87;20.0;MOST_EXPENSIVE;0.0
49;False;Típica do Norte;4.99;18;1.96;20.0;CHEAPEST;0.0
50;False;Marmita;10.49;28;4.56;10.0;CHEAPEST;0.0
51;False;Hambúrguer;0.0;60;4.95;15.0;CHEAP;0.0
52;False;Hambúrguer;8.49;41;4.8;20.0;CHEAPEST;0.0
53;False;Lanches;10.0;60;6.71;10.0;CHEAPEST;0.0
54;False;Brasileira;4.0;40;1.93;20.0;CHEAPEST;0.0
55;False;Lanches;0.0;35;0.35;10.0;CHEAPEST;0.0
56;False;Lanches;7.49;28;3.76;20.0;CHEAP;0.0
57;False;Hambúrguer;15.0;90;8.58;10.0;CHEAPEST;0.0
59;False;Brasileira;15.0;60;3.3;0.0;CHEAPEST;0.0
61;False;Pizza;9.49;56;4.95;20.0;CHEAPEST;0.0
62;False;Doces & Bolos;13.49;60;5.93;10.0;CHEAPEST;0.0
63;False;Lanches;4.99;33;1.52;20.0;CHEAPEST;0.0
64;False;Lanches;0.0;35;3.22;25.0;CHEAP;0.0
65;False;Marmita;8.0;35;3.0;15.0;CHEAPEST;0.0
66;False;Lanches;3.49;41;1.58;20.0;CHEAPEST;0.0
67;False;Coreana;9.0;45;1.55;25.0;CHEAPEST;0.0
68;False;Salgados;8.99;55;4.8;20.0;CHEAP;0.0
69;False;Lanches;6.99;35;3.93;20.0;MODERATE;0.0
70;False;Japonesa;0.0;39;3.96;25.0;CHEAPEST;0.0
71;False;Hambúrguer;8.99;55;4.41;20.0;CHEAP;0.0
72;False;Lanches;12.99;52;5.87;8.0;CHEAPEST;0.0
73;False;Lanches;13.49;63;5.98;20.0;CHEAPEST;0.0
74;False;Doces & Bolos;5.49;25;1.42;10.0;CHEAPEST;0.0
75;False;Mercado;7.0;60;3.32;25.0;CHEAPEST;0.0
76;False;Lanches;3.99;50;2.69;14.0;CHEAPEST;0.0
77;False;Frangos;5.49;20;1.91;20.0;CHEAP;0.0
78;False;Lanches;8.99;56;4.06;20.0;CHEAPEST;0.0
79;False;Brasileira;9.0;80;9.16;20.0;CHEAPEST;0.0
80;False;Bebidas;9.49;48;3.89;10.0;MODERATE;0.0
81;False;Brasileira;5.0;40;1.31;18.0;MODERATE;0.0
82;False;Marmita;12.0;40;3.39;0.0;CHEAPEST;0.0
83;False;Lanches;9.99;42;2.04;10.0;CHEAPEST;0.0
84;False;Lanches;0.0;45;1.86;15.0;CHEAP;0.0
85;False;Doces & Bolos;6.49;47;3.24;10.0;CHEAPEST;0.0
86;False;Doces & Bolos;12.0;70;6.64;20.0;MODERATE;0.0
87;False;Lanches;13.49;47;5.74;20.0;CHEAPEST;0.0
88;False;Pastel;3.49;40;1.88;20.0;CHEAPEST;0.0
89;False;Lanches;0.0;60;2.43;20.0;CHEAPEST;0.0
90;False;Lanches;5.0;60;2.78;10.0;CHEAPEST;0.0
91;False;Doces & Bolos;8.49;22;4.04;10.0;CHEAP;0.0
92;False;Lanches;10.49;30;4.52;20.0;CHEAPEST;0.0
93;False;Brasileira;10.0;75;6.69;28.0;CHEAPEST;0.0
95;False;Lanches;5.0;45;4.74;20.0;CHEAPEST;0.0
97;False;Brasileira;6.49;26;3.2;20.0;CHEAPEST;0.0
98;False;Pizza;0.0;55;3.11;20.0;CHEAPEST;0.0
99;False;Cafeteria;7.49;55;3.94;10.0;CHEAPEST;0.0
101;False;Salgados;3.0;40;3.24;10.0;CHEAPEST;0.0
102;False;Pizza;0.0;45;5.22;20.0;MODERATE;0.0
104;False;Lanches;8.0;40;2.16;10.0;CHEAPEST;0.0
105;False;Lanches;0.0;40;1.6;35.0;CHEAPEST;0.0
106;False;Japonesa;0.0;40;2.54;20.0;MODERATE;0.0
108;False;Padaria;4.99;30;0.71;10.0;CHEAP;0.0
109;False;Hambúrguer;4.0;70;3.56;12.0;CHEAPEST;0.0
110;False;Brasileira;9.99;55;4.79;20.0;CHEAPEST;0.0
111;False;Lanches;0.0;30;1.58;25.0;CHEAP;0.0
112;False;Lanches;0.0;30;1.28;25.0;CHEAP;0.0
114;False;Lanches;5.0;50;2.05;0.0;CHEAPEST;0.0
115;False;Brasileira;8.49;57;4.7;20.0;CHEAP;0.0
116;False;Pizza;10.49;39;4.51;20.0;CHEAPEST;0.0
117;False;Lanches;4.99;31;1.07;20.0;CHEAPEST;0.0
118;False;Peixes;11.49;58;4.59;20.0;CHEAPEST;0.0
119;False;Lanches;0.0;30;1.55;25.0;CHEAP;0.0
120;False;Lanches;12.99;59;5.71;20.0;CHEAPEST;0.0
121;False;Lanches;0.0;30;3.99;20.0;MODERATE;0.0
122;False;Lanches;13.49;61;5.93;20.0;CHEAPEST;0.0
123;False;Japonesa;0.0;50;2.76;35.0;CHEAP;0.0
124;False;Cafeteria;4.99;32;1.06;10.0;CHEAPEST;0.0
125;False;Lanches;0.0;60;2.67;20.0;CHEAPEST;0.0
126;False;Lanches;0.0;30;3.12;25.0;CHEAP;0.0
127;False;Lanches;0.0;25;2.75;30.0;CHEAP;0.0
128;False;Lanches;0.0;35;2.8;25.0;CHEAP;0.0
129;False;Cafeteria;4.99;33;1.92;10.0;CHEAPEST;0.0
131;False;Lanches;0.0;30;1.55;25.0;CHEAP;0.0
132;False;Pastel;11.99;60;6.33;20.0;CHEAPEST;0.0
134;False;Brasileira;10.0;90;9.1;15.0;CHEAPEST;0.0
135;False;Lanches;9.0;40;5.63;30.0;CHEAPEST;0.0
136;False;Cafeteria;6.99;50;3.98;10.0;CHEAPEST;0.0
137;False;Brasileira;0.0;45;5.92;20.0;CHEAP;0.0
138;False;Lanches;0.0;60;1.12;30.0;CHEAP;0.0
139;False;Brasileira;0.0;45;5.55;20.0;CHEAP;0.0
140;False;Doces & Bolos;3.49;32;1.72;10.0;CHEAPEST;0.0
141;False;Pizza;0.0;40;0.73;20.0;CHEAPEST;0.0
142;False;Lanches;0.0;55;2.25;15.0;CHEAP;0.0
143;False;Lanches;0.0;30;3.11;30.0;CHEAP;0.0
144;False;Brasileira;0.0;30;3.75;25.0;CHEAPEST;0.0
145;False;Peixes;0.0;60;1.64;12.0;CHEAPEST;0.0
146;False;Peixes;10.0;60;3.55;15.0;EXPENSIVE;0.0
147;False;Brasileira;0.0;40;6.2;20.0;CHEAP;0.0
148;False;Lanches;0.0;70;3.51;12.0;CHEAPEST;0.0
149;False;Salgados;4.99;30;0.64;20.0;CHEAPEST;0.0
151;False;Lanches;11.49;47;5.0;20.0;CHEAPEST;0.0
152;False;Lanches;6.49;24;1.97;20.0;CHEAPEST;0.0
153;False;Pizza;5.0;60;2.64;20.0;CHEAP;0.0
154;False;Açaí;6.99;48;3.73;10.0;CHEAPEST;0.0
155;False;Lanches;0.0;30;0.64;25.0;CHEAP;0.0
156;False;Lanches;0.0;30;2.31;25.0;CHEAP;0.0
157;False;Lanches;8.5;45;2.96;20.0;CHEAP;0.0
158;False;Brasileira;5.0;40;5.3;20.0;CHEAP;0.0
159;False;Açaí;11.99;63;5.17;10.0;CHEAPEST;0.0
160;False;Lanches;11.99;62;5.66;20.0;CHEAPEST;0.0
161;False;Árabe;13.49;61;5.68;20.0;CHEAPEST;0.0
163;False;Doces & Bolos;6.99;48;3.01;10.0;CHEAP;0.0
164;False;Brasileira;15.0;80;6.62;10.0;MODERATE;0.0
165;False;Congelados;11.99;59;6.74;10.0;CHEAPEST;0.0
166;False;Saudável;5.49;27;3.41;10.0;CHEAP;0.0
167;False;Brasileira;0.0;50;2.09;30.0;EXPENSIVE;0.0
168;False;Brasileira;10.0;95;9.27;25.0;CHEAP;0.0
169;False;Lanches;0.0;30;0.84;25.0;CHEAP;0.0
170;False;Doces & Bolos;11.49;41;5.45;10.0;CHEAPEST;0.0
171;False;Lanches;15.0;70;5.21;11.0;CHEAPEST;0.0
172;False;Brasileira;6.0;60;1.3;25.0;CHEAPEST;0.0
173;False;Açaí;5.49;35;2.67;25.0;CHEAP;0.0
174;False;Brasileira;14.0;65;8.61;20.0;CHEAPEST;0.0
175;False;Lanches;0.0;45;2.07;0.0;CHEAPEST;0.0
176;False;Brasileira;8.99;55;4.78;20.0;CHEAPEST;0.0
177;False;Lanches;0.0;30;1.55;25.0;MODERATE;0.0
178;False;Brasileira;13.49;59;6.23;20.0;MODERATE;0.0
179;False;Bebidas;11.49;33;5.9;10.0;CHEAP;0.0
180;False;Lanches;11.49;62;5.5;20.0;CHEAPEST;0.0
182;False;Lanches;5.49;41;2.86;20.0;CHEAPEST;0.0
183;False;Açaí;13.49;41;6.05;10.0;CHEAPEST;0.0
184;False;Marmita;10.49;36;5.36;10.0;CHEAPEST;0.0
185;False;Lanches;7.0;70;4.68;0.0;CHEAP;0.0
186;False;Pizza;5.0;60;6.41;25.0;MODERATE;0.0
187;False;Carnes;11.99;56;4.46;20.0;CHEAPEST;0.0
189;False;Doces & Bolos;6.99;43;3.46;10.0;CHEAPEST;0.0
190;False;Brasileira;6.99;35;3.97;10.0;CHEAPEST;0.0
191;False;Brasileira;10.0;30;1.14;30.0;CHEAPEST;0.0
192;False;Brasileira;6.49;23;1.42;20.0;EXPENSIVE;0.0
193;False;Pastel;5.0;50;2.72;15.0;CHEAP;0.0
194;False;Pastel;4.99;33;1.5;20.0;CHEAPEST;0.0
195;False;Brasileira;5.49;35;1.48;20.0;MODERATE;0.0
196;False;Lanches;3.0;60;2.69;20.0;CHEAPEST;0.0
197;False;Frutos Do Mar;6.49;32;1.65;20.0;EXPENSIVE;0.0
198;False;Brasileira;0.0;50;0.78;15.0;CHEAP;0.0
199;False;Marmita;12.49;61;5.82;10.0;CHEAPEST;0.0
200;False;Cozinha Rápida;11.99;80;6.46;15.0;CHEAPEST;0.0
201;False;Lanches;7.0;65;3.77;10.0;CHEAPEST;0.0
202;False;Lanches;7.49;50;3.03;20.0;CHEAPEST;0.0
203;False;Brasileira;12.49;61;5.66;20.0;CHEAPEST;0.0
204;False;Japonesa;6.49;39;2.1;20.0;CHEAP;0.0
205;False;Lanches;9.99;50;5.72;20.0;CHEAPEST;0.0
206;False;Pizza;5.49;35;2.3;20.0;CHEAPEST;0.0
207;False;Lanches;10.49;56;4.69;20.0;CHEAPEST;0.0
208;False;Lanches;6.99;51;3.97;20.0;CHEAPEST;0.0
209;False;Brasileira;12.49;58;5.04;20.0;CHEAP;0.0
210;False;Açaí;6.49;36;2.11;10.0;CHEAPEST;0.0
211;False;Brasileira;4.99;18;1.87;20.0;CHEAPEST;0.0
212;False;Variada;4.0;50;2.83;10.0;CHEAPEST;0.0
213;False;Congelados;11.99;47;6.25;10.0;CHEAPEST;0.0
214;False;Lanches;11.49;58;5.25;20.0;CHEAPEST;0.0
215;False;Lanches;0.0;30;2.84;10.0;CHEAPEST;0.0
216;False;Pizza;0.0;40;1.33;15.0;CHEAPEST;0.0
217;False;Lanches;13.99;56;6.74;15.0;CHEAPEST;0.0
218;False;Lanches;11.49;57;5.22;20.0;CHEAPEST;0.0
219;False;Doces & Bolos;7.49;44;3.03;10.0;CHEAPEST;0.0
220;False;Hambúrguer;0.0;45;4.53;10.0;CHEAPEST;0.0
221;False;Lanches;0.0;45;2.74;15.0;CHEAPEST;0.0
222;False;Açaí;0.0;40;6.23;10.0;CHEAPEST;0.0
223;False;Variada;4.0;75;3.89;15.0;CHEAPEST;0.0
224;False;Carnes;10.0;59;6.5;18.9;CHEAPEST;0.0
225;False;Pastel;13.49;58;6.11;20.0;CHEAPEST;0.0
226;False;Brasileira;14.49;68;6.53;20.0;CHEAPEST;0.0
228;False;Doces & Bolos;14.49;64;6.9;10.0;CHEAPEST;0.0
229;False;Brasileira;12.99;63;6.85;20.0;CHEAPEST;0.0
230;False;Hambúrguer;0.0;45;1.11;12.0;CHEAP;0.0
231;False;Lanches;13.99;56;6.36;18.0;CHEAPEST;0.0
232;False;Carnes;12.49;58;5.85;20.0;CHEAPEST;0.0
233;False;Lanches;14.49;62;6.41;20.0;CHEAPEST;0.0
234;False;Pizza;7.49;46;3.03;20.0;CHEAPEST;0.0
235;False;Pizza;5.0;50;4.58;20.0;CHEAPEST;0.0
236;False;Salgados;13.49;62;6.03;20.0;CHEAPEST;0.0
237;False;Lanches;5.49;43;2.13;10.0;MODERATE;0.0
238;False;Brasileira;10.49;55;4.76;20.0;CHEAPEST;0.0
239;False;Doces & Bolos;9.49;56;4.62;10.0;CHEAPEST;0.0
240;False;Lanches;7.0;70;4.17;10.0;CHEAPEST;0.0
241;False;Lanches;6.49;46;3.25;20.0;CHEAPEST;0.0
242;False;Pizza;8.49;56;3.8;20.0;CHEAPEST;0.0
243;False;Bebidas;10.0;40;5.93;0.0;CHEAPEST;0.0
244;False;Brasileira;0.0;45;2.44;15.0;CHEAPEST;0.0
245;False;Açaí;13.49;37;5.76;10.0;CHEAPEST;0.0
246;False;Japonesa;9.0;60;4.44;15.0;CHEAPEST;0.0
247;False;Brasileira;12.49;45;5.73;20.0;CHEAPEST;0.0
248;False;Lanches;8.49;35;3.67;20.0;CHEAPEST;0.0
249;False;Doces & Bolos;14.49;64;6.65;10.0;CHEAPEST;0.0
250;False;Lanches;7.49;46;3.49;20.0;CHEAPEST;0.0
251;False;Pizza;5.49;48;2.76;20.0;CHEAPEST;0.0
252;False;Açaí;6.99;51;3.89;10.0;CHEAPEST;0.0
253;False;Brasileira;0.0;30;0.97;10.0;CHEAPEST;0.0
254;False;Italiana;15.49;63;6.05;20.0;CHEAP;0.0
255;False;Lanches;5.9;39;6.06;25.0;MODERATE;4.553.400.039.672.850
256;False;Brasileira;10.49;48;5.31;20.0;CHEAPEST;0.0
257;False;Pizza;8.49;39;4.19;20.0;CHEAPEST;0.0
258;False;Brasileira;9.49;58;4.34;20.0;MODERATE;0.0
259;False;Lanches;12.0;55;7.02;0.0;CHEAPEST;0.0
260;False;Lanches;11.49;32;5.75;20.0;CHEAPEST;0.0
261;False;Hambúrguer;12.99;45;5.96;20.0;CHEAPEST;0.0
262;False;Açaí;11.49;41;5.65;10.0;CHEAPEST;0.0
263;False;Pastel;7.49;40;3.95;10.0;CHEAPEST;0.0
264;False;Pizza;5.0;35;0.88;10.0;CHEAPEST;0.0
265;False;Lanches;15.0;45;5.63;15.0;CHEAPEST;0.0
266;False;Lanches;13.99;56;6.25;20.0;CHEAPEST;0.0
267;False;Bebidas;9.0;70;5.27;15.0;CHEAPEST;0.0
268;False;Brasileira;5.99;40;2.99;20.0;CHEAPEST;0.0
269;False;Bebidas;5.99;50;4.81;20.0;CHEAPEST;0.0
270;False;Açaí;6.0;60;3.18;9.0;CHEAPEST;0.0
271;False;Açaí;9.49;57;4.77;10.0;CHEAPEST;0.0
272;False;Lanches;7.0;70;5.76;9.9;CHEAPEST;0.0
273;False;Doces & Bolos;12.49;59;5.48;10.0;CHEAPEST;0.0
274;False;Lanches;0.0;45;1.64;25.0;CHEAPEST;0.0
275;False;Lanches;8.49;50;3.63;20.0;CHEAPEST;0.0
276;False;Doces & Bolos;4.99;35;1.98;10.0;CHEAPEST;0.0
277;False;Brasileira;12.49;34;5.41;20.0;CHEAPEST;0.0
278;False;Brasileira;10.49;57;4.48;20.0;CHEAPEST;0.0
279;False;Lanches;9.0;50;4.21;18.0;MODERATE;416.471.004.486.084
280;False;Marmita;5.99;25;2.77;10.0;CHEAPEST;0.0
281;False;Brasileira;7.99;40;4.14;20.0;CHEAP;0.0
282;False;Saudável;13.49;52;5.06;10.0;MODERATE;0.0
283;False;Lanches;13.49;48;5.89;20.0;CHEAPEST;0.0
284;False;Saudável;14.49;35;6.44;10.0;CHEAP;0.0
285;False;Brasileira;0.0;35;0.58;22.0;CHEAPEST;0.0
286;False;Brasileira;11.49;43;4.6;20.0;CHEAP;0.0
287;False;Brasileira;15.49;45;6.32;20.0;CHEAPEST;0.0
288;False;Açaí;7.0;50;2.32;10.0;CHEAPEST;0.0
289;False;Lanches;11.99;47;6.26;20.0;CHEAPEST;0.0
290;False;Lanches;8.0;25;2.26;20.0;CHEAPEST;0.0
291;False;Brasileira;7.99;56;4.58;20.0;CHEAPEST;0.0
292;False;Doces & Bolos;15.49;37;6.52;10.0;CHEAP;0.0
293;False;Doces & Bolos;6.99;33;3.5;10.0;CHEAP;0.0
294;False;Nordestina;10.49;54;4.88;20.0;CHEAPEST;0.0
295;False;Lanches;7.0;60;4.47;15.0;CHEAPEST;0.0
296;False;Salgados;2.0;50;2.13;15.0;CHEAPEST;0.0
297;False;Bebidas;5.99;24;2.96;10.0;MODERATE;0.0
298;False;Lanches;3.99;33;1.57;20.0;CHEAPEST;0.0
299;False;Bebidas;7.99;27;4.28;10.0;CHEAPEST;0.0
300;False;Salgados;11.99;43;5.19;20.0;CHEAPEST;0.0
301;False;Japonesa;0.0;35;0.61;25.0;MODERATE;0.0
302;False;Lanches;3.99;13;0.15;20.0;MODERATE;0.0
303;False;Açaí;14.99;52;5.05;15.0;CHEAPEST;0.0
304;False;Brasileira;5.0;60;3.47;18.0;CHEAPEST;0.0
305;False;Bebidas;5.99;28;1.28;10.0;MODERATE;0.0
306;False;Hambúrguer;11.99;52;5.95;10.0;CHEAP;0.0
307;False;Conveniência;6.99;42;2.58;10.0;CHEAPEST;0.0
308;False;Salgados;4.49;30;0.63;20.0;MODERATE;0.0
309;False;Japonesa;5.99;46;2.61;20.0;CHEAP;0.0
310;False;Doces & Bolos;4.99;34;1.75;10.0;CHEAPEST;0.0
311;False;Lanches;4.99;32;1.24;20.0;CHEAPEST;0.0
312;False;Doces & Bolos;10.49;52;4.51;10.0;CHEAPEST;0.0
313;False;Lanches;12.49;42;5.45;20.0;CHEAP;0.0
314;False;Brasileira;6.99;35;2.13;20.0;CHEAPEST;0.0
315;False;Doces & Bolos;9.49;37;4.32;10.0;CHEAP;0.0
316;False;Brasileira;15.49;43;6.82;20.0;CHEAPEST;0.0
317;False;Doces & Bolos;4.99;33;1.6;10.0;CHEAP;0.0
318;False;Lanches;0.0;30;0.55;10.0;CHEAPEST;0.0
319;False;Carnes;6.99;35;3.46;20.0;CHEAP;0.0
320;False;Brasileira;0.0;40;1.97;20.0;CHEAPEST;0.0
321;False;Doces & Bolos;15.49;65;6.87;10.0;CHEAPEST;0.0
322;False;Doces & Bolos;4.49;45;0.43;10.0;CHEAPEST;0.0
323;False;Bebidas;5.99;35;3.22;15.0;CHEAP;0.0
324;False;Lanches;6.99;46;3.28;20.0;CHEAPEST;0.0
325;False;Italiana;5.99;27;3.93;20.0;CHEAPEST;0.0
326;False;Japonesa;5.99;31;1.18;20.0;MODERATE;0.0
327;False;Lanches;14.49;60;6.04;20.0;CHEAP;0.0
328;False;Doces & Bolos;4.99;26;2.71;10.0;CHEAP;0.0
329;False;Lanches;5.99;38;3.0;20.0;CHEAP;0.0
331;False;Lanches;10.0;80;7.0;24.0;CHEAP;0.0
332;False;Lanches;11.0;80;6.68;10.0;CHEAP;0.0
333;False;Brasileira;8.0;45;4.3;15.0;CHEAPEST;0.0
334;False;Brasileira;7.99;81;4.6;25.0;CHEAPEST;0.0
335;False;Doces & Bolos;5.0;50;2.25;20.0;CHEAPEST;0.0
336;False;Hambúrguer;14.49;43;6.28;20.0;CHEAPEST;0.0
337;False;Sorvetes;12.99;63;6.78;20.0;CHEAPEST;0.0
338;False;Brasileira;15.49;39;6.72;20.0;CHEAPEST;0.0
339;False;Variada;0.0;50;2.72;20.0;CHEAPEST;0.0
340;False;Doces & Bolos;13.49;60;5.93;10.0;CHEAPEST;0.0
341;False;Doces & Bolos;1.99;30;1.74;10.0;CHEAPEST;0.0
342;False;Brasileira;15.99;56;6.17;15.0;CHEAPEST;0.0
343;False;Carnes;9.99;26;3.27;20.0;CHEAPEST;0.0
344;False;Lanches;12.99;47;6.96;20.0;CHEAP;0.0
345;False;Marmita;0.0;50;1.48;0.0;CHEAP;0.0
346;False;Lanches;9.49;45;4.26;20.0;CHEAPEST;0.0
347;False;Pastel;11.49;56;4.78;20.0;CHEAPEST;0.0
348;False;Lanches;6.0;50;1.39;0.0;CHEAPEST;0.0
349;False;Lanches;15.49;32;6.83;20.0;MODERATE;0.0
350;False;Doces & Bolos;8.49;38;3.87;10.0;CHEAPEST;0.0
351;False;Pizza;0.0;55;1.16;20.0;CHEAPEST;0.0
352;False;Bebidas;8.0;50;4.5;35.0;MOST_EXPENSIVE;0.0
353;False;Doces & Bolos;5.99;40;2.66;10.0;CHEAP;0.0
354;False;Italiana;11.49;29;4.05;20.0;CHEAPEST;0.0
355;False;Brasileira;12.99;59;5.44;20.0;CHEAPEST;0.0
356;False;Doces & Bolos;6.99;38;3.22;10.0;CHEAPEST;0.0
357;False;Saudável;8.49;43;3.99;10.0;CHEAPEST;0.0
358;False;Doces & Bolos;9.49;41;4.16;10.0;CHEAPEST;0.0
359;False;Mexicana;10.49;61;3.77;20.0;CHEAPEST;0.0
361;False;Doces & Bolos;4.49;48;0.66;10.0;CHEAPEST;0.0
362;False;Italiana;9.49;68;4.05;20.0;CHEAPEST;0.0
363;False;Doces & Bolos;5.99;40;2.41;10.0;CHEAPEST;0.0
364;False;Brasileira;13.49;35;5.12;20.0;CHEAPEST;0.0
365;False;Lanches;9.49;57;4.49;20.0;CHEAPEST;0.0
366;False;Doces & Bolos;5.0;40;0.52;15.0;CHEAPEST;0.0
367;False;Marmita;14.49;62;6.28;10.0;CHEAPEST;0.0
368;False;Brasileira;4.99;51;1.32;20.0;CHEAPEST;0.0
369;False;Saudável;0.99;55;1.31;30.0;CHEAPEST;0.0
370;False;Brasileira;12.49;57;4.82;20.0;CHEAPEST;0.0
371;False;Brasileira;5.49;32;0.89;20.0;CHEAPEST;0.0
372;False;Doces & Bolos;9.49;56;4.35;10.0;CHEAPEST;0.0
373;False;Lanches;6.0;35;1.77;30.0;CHEAPEST;0.0
374;False;Pastel;12.49;58;5.11;20.0;CHEAPEST;0.0
375;False;Congelados;4.49;32;0.99;10.0;CHEAPEST;0.0
376;False;Lanches;0.0;60;4.38;15.0;CHEAPEST;0.0
378;False;Saudável;6.99;41;2.89;10.0;CHEAPEST;0.0
379;False;Doces & Bolos;13.49;57;5.57;10.0;CHEAPEST;0.0
380;False;Frutos Do Mar;6.99;70;3.19;0.0;CHEAPEST;0.0
381;False;Marmita;5.99;36;2.27;10.0;CHEAPEST;0.0
382;False;Brasileira;6.99;39;3.05;20.0;CHEAPEST;0.0
383;False;Portuguesa;5.99;62;2.3;20.0;CHEAPEST;0.0
384;False;Brasileira;6.49;26;0.95;20.0;EXPENSIVE;0.0
385;False;Chinesa;8.99;73;3.29;20.0;CHEAPEST;0.0
386;False;Brasileira;9.49;43;4.28;20.0;CHEAPEST;0.0
387;False;Chinesa;5.99;38;2.38;20.0;CHEAPEST;0.0
388;False;Brasileira;5.0;40;2.55;0.0;CHEAPEST;0.0
389;False;Açaí;6.99;28;3.45;10.0;CHEAPEST;0.0
390;False;Frutos Do Mar;4.99;60;3.13;20.0;CHEAPEST;0.0
391;False;Japonesa;6.99;67;3.27;20.0;CHEAPEST;0.0
392;False;Salgados;8.49;40;3.95;20.0;CHEAPEST;0.0
393;False;Brasileira;12.99;49;4.57;12.5;CHEAPEST;0.0
394;False;Lanches;12.49;44;5.05;20.0;CHEAPEST;0.0
395;False;Açaí;0.0;40;2.08;15.0;CHEAPEST;0.0
396;False;Doces & Bolos;14.49;63;6.06;10.0;CHEAPEST;0.0
397;False;Açaí;5.99;50;2.88;10.0;CHEAPEST;0.0
398;False;Lanches;10.99;46;3.7;15.0;CHEAPEST;0.0
399;False;Tapioca;9.49;41;4.37;20.0;CHEAPEST;0.0
400;False;Brasileira;12.49;46;5.43;20.0;CHEAPEST;0.0
401;False;Cozinha Rápida;10.49;43;4.88;10.0;CHEAPEST;0.0
402;False;Doces & Bolos;10.49;43;4.73;10.0;CHEAP;0.0
403;False;Lanches;5.99;41;2.68;10.0;CHEAPEST;0.0
404;False;Doces & Bolos;4.99;35;1.66;10.0;CHEAPEST;0.0
405;False;Vegetariana;5.99;31;2.62;20.0;CHEAPEST;0.0
406;False;Doces & Bolos;4.99;32;1.78;10.0;CHEAPEST;0.0
407;False;Açaí;6.99;33;2.92;10.0;CHEAPEST;0.0
408;False;Hambúrguer;0.0;45;1.2;20.0;CHEAPEST;0.0
409;False;Lanches;13.49;43;5.27;20.0;CHEAPEST;0.0
410;False;Doces & Bolos;8.49;33;3.76;10.0;CHEAPEST;0.0
411;False;Lanches;12.49;45;5.39;20.0;CHEAPEST;0.0
412;False;Hambúrguer;13.49;44;5.74;20.0;CHEAPEST;0.0
